Div,Team,Oponent,Oponent_HTG,HTG,HTR,Referee,Venue,FTR
E0,Man United,Leicester,0,1,WIN,A Marriner,HOME,WIN
E0,Bournemouth,Cardiff,0,1,WIN,K Friend,HOME,WIN
E0,Fulham,Crystal Palace,1,0,LOSE,M Dean,HOME,LOSE
E0,Huddersfield,Chelsea,2,0,LOSE,C Kavanagh,HOME,LOSE
E0,Newcastle,Tottenham,2,1,LOSE,M Atkinson,HOME,LOSE
E0,Watford,Brighton,0,1,WIN,J Moss,HOME,WIN
E0,Wolves,Everton,1,1,DRAW,C Pawson,HOME,DRAW
E0,Arsenal,Man City,1,0,LOSE,M Oliver,HOME,LOSE
E0,Liverpool,West Ham,0,2,WIN,A Taylor,HOME,WIN
E0,Southampton,Burnley,0,0,DRAW,G Scott,HOME,DRAW
E0,Cardiff,Newcastle,0,0,DRAW,C Pawson,HOME,DRAW
E0,Chelsea,Arsenal,2,2,DRAW,M Atkinson,HOME,WIN
E0,Everton,Southampton,0,2,WIN,L Mason,HOME,WIN
E0,Leicester,Wolves,0,2,WIN,M Dean,HOME,WIN
E0,Tottenham,Fulham,0,1,WIN,A Taylor,HOME,WIN
E0,West Ham,Bournemouth,0,1,WIN,S Attwell,HOME,LOSE
E0,Brighton,Man United,1,3,WIN,K Friend,HOME,WIN
E0,Burnley,Watford,1,1,DRAW,P Tierney,HOME,LOSE
E0,Man City,Huddersfield,1,3,WIN,A Marriner,HOME,WIN
E0,Crystal Palace,Liverpool,1,0,LOSE,M Oliver,HOME,LOSE
E0,Arsenal,West Ham,1,1,DRAW,G Scott,HOME,WIN
E0,Bournemouth,Everton,0,0,DRAW,L Probert,HOME,DRAW
E0,Huddersfield,Cardiff,0,0,DRAW,M Oliver,HOME,DRAW
E0,Liverpool,Brighton,0,1,WIN,C Kavanagh,HOME,WIN
E0,Southampton,Leicester,0,0,DRAW,J Moss,HOME,LOSE
E0,Wolves,Man City,0,0,DRAW,M Atkinson,HOME,DRAW
E0,Fulham,Burnley,2,3,WIN,D Coote,HOME,WIN
E0,Newcastle,Chelsea,0,0,DRAW,P Tierney,HOME,LOSE
E0,Watford,Crystal Palace,0,0,DRAW,A Taylor,HOME,WIN
E0,Man United,Tottenham,0,0,DRAW,C Pawson,HOME,LOSE
E0,Brighton,Fulham,1,0,LOSE,L Probert,HOME,DRAW
E0,Chelsea,Bournemouth,0,0,DRAW,L Mason,HOME,WIN
E0,Crystal Palace,Southampton,0,0,DRAW,M Atkinson,HOME,LOSE
E0,Everton,Huddersfield,1,1,DRAW,S Attwell,HOME,DRAW
E0,Leicester,Liverpool,2,0,LOSE,P Tierney,HOME,LOSE
E0,Man City,Newcastle,1,1,DRAW,K Friend,HOME,WIN
E0,West Ham,Wolves,0,0,DRAW,C Kavanagh,HOME,LOSE
E0,Burnley,Man United,2,0,LOSE,J Moss,HOME,LOSE
E0,Cardiff,Arsenal,1,1,DRAW,A Taylor,HOME,LOSE
E0,Watford,Tottenham,0,0,DRAW,A Marriner,HOME,WIN
E0,Bournemouth,Leicester,0,3,WIN,C Pawson,HOME,WIN
E0,Chelsea,Cardiff,1,2,WIN,J Moss,HOME,WIN
E0,Huddersfield,Crystal Palace,1,0,LOSE,L Mason,HOME,LOSE
E0,Man City,Fulham,0,2,WIN,S Attwell,HOME,WIN
E0,Newcastle,Arsenal,0,0,DRAW,L Probert,HOME,LOSE
E0,Tottenham,Liverpool,1,0,LOSE,M Oliver,HOME,LOSE
E0,Watford,Man United,2,0,LOSE,M Dean,HOME,LOSE
E0,Everton,West Ham,2,1,LOSE,M Atkinson,HOME,LOSE
E0,Wolves,Burnley,0,0,DRAW,A Marriner,HOME,WIN
E0,Southampton,Brighton,0,1,WIN,A Taylor,HOME,DRAW
E0,Brighton,Tottenham,1,0,LOSE,C Kavanagh,HOME,LOSE
E0,Burnley,Bournemouth,0,2,WIN,A Taylor,HOME,WIN
E0,Cardiff,Man City,3,0,LOSE,M Oliver,HOME,LOSE
E0,Crystal Palace,Newcastle,0,0,DRAW,A Marriner,HOME,DRAW
E0,Fulham,Watford,1,0,LOSE,M Atkinson,HOME,DRAW
E0,Leicester,Huddersfield,1,1,DRAW,D Coote,HOME,WIN
E0,Liverpool,Southampton,0,3,WIN,P Tierney,HOME,WIN
E0,Man United,Wolves,0,1,WIN,K Friend,HOME,DRAW
E0,Arsenal,Everton,0,0,DRAW,J Moss,HOME,WIN
E0,West Ham,Chelsea,0,0,DRAW,M Dean,HOME,DRAW
E0,Arsenal,Watford,0,0,DRAW,A Taylor,HOME,WIN
E0,Chelsea,Liverpool,0,1,WIN,A Marriner,HOME,DRAW
E0,Everton,Fulham,0,0,DRAW,R East,HOME,WIN
E0,Huddersfield,Tottenham,2,0,LOSE,C Pawson,HOME,LOSE
E0,Man City,Brighton,0,1,WIN,L Mason,HOME,WIN
E0,Newcastle,Leicester,1,0,LOSE,S Hooper,HOME,LOSE
E0,West Ham,Man United,0,2,WIN,M Oliver,HOME,WIN
E0,Wolves,Southampton,0,0,DRAW,S Attwell,HOME,WIN
E0,Cardiff,Burnley,0,0,DRAW,M Atkinson,HOME,LOSE
E0,Bournemouth,Crystal Palace,0,1,WIN,M Dean,HOME,WIN
E0,Brighton,West Ham,0,1,WIN,K Friend,HOME,WIN
E0,Burnley,Huddersfield,0,1,WIN,C Kavanagh,HOME,DRAW
E0,Crystal Palace,Wolves,0,0,DRAW,M Oliver,HOME,LOSE
E0,Leicester,Everton,1,1,DRAW,A Marriner,HOME,LOSE
E0,Man United,Newcastle,2,0,LOSE,A Taylor,HOME,WIN
E0,Tottenham,Cardiff,0,1,WIN,M Dean,HOME,WIN
E0,Watford,Bournemouth,3,0,LOSE,J Moss,HOME,LOSE
E0,Fulham,Arsenal,1,1,DRAW,P Tierney,HOME,LOSE
E0,Liverpool,Man City,0,0,DRAW,M Atkinson,HOME,DRAW
E0,Southampton,Chelsea,1,0,LOSE,C Pawson,HOME,LOSE
E0,Bournemouth,Southampton,0,0,DRAW,L Probert,HOME,DRAW
E0,Cardiff,Fulham,2,2,DRAW,K Friend,HOME,WIN
E0,Chelsea,Man United,0,1,WIN,M Dean,HOME,DRAW
E0,Huddersfield,Liverpool,1,0,LOSE,M Oliver,HOME,LOSE
E0,Man City,Burnley,0,1,WIN,J Moss,HOME,WIN
E0,Newcastle,Brighton,1,0,LOSE,A Marriner,HOME,LOSE
E0,West Ham,Tottenham,1,0,LOSE,M Atkinson,HOME,LOSE
E0,Wolves,Watford,2,0,LOSE,L Mason,HOME,LOSE
E0,Everton,Crystal Palace,0,0,DRAW,A Taylor,HOME,WIN
E0,Arsenal,Leicester,1,1,DRAW,C Kavanagh,HOME,WIN
E0,Brighton,Wolves,0,0,DRAW,A Taylor,HOME,WIN
E0,Fulham,Bournemouth,1,0,LOSE,A Marriner,HOME,LOSE
E0,Leicester,West Ham,1,0,LOSE,M Oliver,HOME,DRAW
E0,Liverpool,Cardiff,0,1,WIN,S Attwell,HOME,WIN
E0,Southampton,Newcastle,0,0,DRAW,C Kavanagh,HOME,DRAW
E0,Watford,Huddersfield,0,2,WIN,M Dean,HOME,WIN
E0,Burnley,Chelsea,1,0,LOSE,C Pawson,HOME,LOSE
E0,Crystal Palace,Arsenal,0,1,WIN,M Atkinson,HOME,DRAW
E0,Man United,Everton,0,1,WIN,J Moss,HOME,WIN
E0,Tottenham,Man City,1,0,LOSE,K Friend,HOME,LOSE
E0,Arsenal,Liverpool,0,0,DRAW,A Marriner,HOME,DRAW
E0,Bournemouth,Man United,1,1,DRAW,P Tierney,HOME,LOSE
E0,Cardiff,Leicester,0,0,DRAW,L Probert,HOME,LOSE
E0,Everton,Brighton,1,1,DRAW,D Coote,HOME,WIN
E0,Newcastle,Watford,0,0,DRAW,C Pawson,HOME,WIN
E0,West Ham,Burnley,1,1,DRAW,R East,HOME,WIN
E0,Wolves,Tottenham,2,0,LOSE,M Dean,HOME,LOSE
E0,Chelsea,Crystal Palace,0,1,WIN,M Oliver,HOME,WIN
E0,Man City,Southampton,1,4,WIN,L Mason,HOME,WIN
E0,Huddersfield,Fulham,0,1,WIN,A Taylor,HOME,WIN
E0,Cardiff,Brighton,1,1,DRAW,M Atkinson,HOME,WIN
E0,Crystal Palace,Tottenham,0,0,DRAW,J Moss,HOME,LOSE
E0,Huddersfield,West Ham,0,1,WIN,C Kavanagh,HOME,DRAW
E0,Leicester,Burnley,0,0,DRAW,M Dean,HOME,DRAW
E0,Newcastle,Bournemouth,1,2,WIN,L Probert,HOME,WIN
E0,Southampton,Watford,0,1,WIN,S Hooper,HOME,DRAW
E0,Arsenal,Wolves,1,0,LOSE,S Attwell,HOME,DRAW
E0,Chelsea,Everton,0,0,DRAW,K Friend,HOME,DRAW
E0,Liverpool,Fulham,0,1,WIN,P Tierney,HOME,WIN
E0,Man City,Man United,0,1,WIN,A Taylor,HOME,WIN
E0,Brighton,Leicester,0,1,WIN,C Kavanagh,HOME,DRAW
E0,Everton,Cardiff,0,0,DRAW,P Tierney,HOME,WIN
E0,Fulham,Southampton,1,2,WIN,M Oliver,HOME,WIN
E0,Man United,Crystal Palace,0,0,DRAW,L Mason,HOME,DRAW
E0,Tottenham,Chelsea,0,2,WIN,M Atkinson,HOME,WIN
E0,Watford,Liverpool,0,0,DRAW,J Moss,HOME,LOSE
E0,West Ham,Man City,3,0,LOSE,A Marriner,HOME,LOSE
E0,Bournemouth,Arsenal,1,1,DRAW,C Pawson,HOME,LOSE
E0,Wolves,Huddersfield,1,0,LOSE,K Friend,HOME,LOSE
E0,Burnley,Newcastle,2,1,LOSE,A Taylor,HOME,LOSE
E0,Cardiff,Wolves,1,0,LOSE,A Marriner,HOME,WIN
E0,Crystal Palace,Burnley,0,1,WIN,L Probert,HOME,WIN
E0,Huddersfield,Brighton,1,1,DRAW,M Oliver,HOME,LOSE
E0,Leicester,Watford,0,2,WIN,G Scott,HOME,WIN
E0,Man City,Bournemouth,1,1,DRAW,S Attwell,HOME,WIN
E0,Newcastle,West Ham,1,0,LOSE,P Tierney,HOME,LOSE
E0,Southampton,Man United,2,2,DRAW,K Friend,HOME,DRAW
E0,Arsenal,Tottenham,2,1,LOSE,M Dean,HOME,WIN
E0,Chelsea,Fulham,0,1,WIN,C Pawson,HOME,WIN
E0,Liverpool,Everton,0,0,DRAW,C Kavanagh,HOME,WIN
E0,Bournemouth,Huddersfield,1,2,WIN,R East,HOME,WIN
E0,Brighton,Crystal Palace,0,3,WIN,K Friend,HOME,WIN
E0,Watford,Man City,1,0,LOSE,P Tierney,HOME,LOSE
E0,West Ham,Cardiff,0,0,DRAW,G Scott,HOME,WIN
E0,Burnley,Liverpool,0,0,DRAW,S Attwell,HOME,LOSE
E0,Everton,Newcastle,1,1,DRAW,L Mason,HOME,DRAW
E0,Fulham,Leicester,0,1,WIN,D Coote,HOME,DRAW
E0,Man United,Arsenal,1,1,DRAW,A Marriner,HOME,DRAW
E0,Tottenham,Southampton,0,1,WIN,A Taylor,HOME,WIN
E0,Wolves,Chelsea,1,0,LOSE,J Moss,HOME,WIN
E0,Arsenal,Huddersfield,0,0,DRAW,P Tierney,HOME,WIN
E0,Bournemouth,Liverpool,1,0,LOSE,L Mason,HOME,LOSE
E0,Burnley,Brighton,0,1,WIN,M Atkinson,HOME,WIN
E0,Cardiff,Southampton,0,0,DRAW,J Moss,HOME,WIN
E0,Chelsea,Man City,0,1,WIN,M Oliver,HOME,WIN
E0,Leicester,Tottenham,1,0,LOSE,C Pawson,HOME,LOSE
E0,Man United,Fulham,0,3,WIN,L Probert,HOME,WIN
E0,West Ham,Crystal Palace,1,0,LOSE,A Taylor,HOME,WIN
E0,Newcastle,Wolves,1,1,DRAW,M Dean,HOME,LOSE
E0,Everton,Watford,0,1,WIN,K Friend,HOME,DRAW
E0,Crystal Palace,Leicester,0,1,WIN,M Oliver,HOME,WIN
E0,Fulham,West Ham,2,0,LOSE,M Dean,HOME,LOSE
E0,Huddersfield,Newcastle,0,0,DRAW,A Taylor,HOME,LOSE
E0,Man City,Everton,0,1,WIN,C Pawson,HOME,WIN
E0,Tottenham,Burnley,0,0,DRAW,G Scott,HOME,WIN
E0,Watford,Cardiff,0,1,WIN,A Madley,HOME,WIN
E0,Wolves,Bournemouth,0,1,WIN,S Hooper,HOME,WIN
E0,Brighton,Chelsea,2,0,LOSE,S Attwell,HOME,LOSE
E0,Liverpool,Man United,1,1,DRAW,M Atkinson,HOME,WIN
E0,Southampton,Arsenal,1,2,WIN,C Kavanagh,HOME,WIN
E0,Wolves,Liverpool,1,0,LOSE,C Pawson,HOME,LOSE
E0,Arsenal,Burnley,0,1,WIN,K Friend,HOME,WIN
E0,Bournemouth,Brighton,0,1,WIN,M Dean,HOME,WIN
E0,Cardiff,Man United,3,1,LOSE,M Oliver,HOME,LOSE
E0,Chelsea,Leicester,0,0,DRAW,L Probert,HOME,LOSE
E0,Huddersfield,Southampton,2,0,LOSE,S Attwell,HOME,LOSE
E0,Man City,Crystal Palace,2,1,LOSE,A Marriner,HOME,LOSE
E0,Newcastle,Fulham,0,0,DRAW,M Atkinson,HOME,DRAW
E0,West Ham,Watford,1,0,LOSE,L Mason,HOME,LOSE
E0,Everton,Tottenham,3,1,LOSE,P Tierney,HOME,LOSE
E0,Brighton,Arsenal,1,1,DRAW,A Taylor,HOME,DRAW
E0,Burnley,Everton,3,1,LOSE,M Oliver,HOME,LOSE
E0,Crystal Palace,Cardiff,0,0,DRAW,L Probert,HOME,DRAW
E0,Fulham,Wolves,0,0,DRAW,A Marriner,HOME,DRAW
E0,Leicester,Man City,1,1,DRAW,M Dean,HOME,WIN
E0,Liverpool,Newcastle,0,1,WIN,G Scott,HOME,WIN
E0,Man United,Huddersfield,0,1,WIN,J Moss,HOME,WIN
E0,Tottenham,Bournemouth,0,3,WIN,C Kavanagh,HOME,WIN
E0,Watford,Chelsea,1,1,DRAW,M Atkinson,HOME,LOSE
E0,Southampton,West Ham,0,0,DRAW,C Pawson,HOME,LOSE
E0,Brighton,Everton,0,0,DRAW,A Madley,HOME,WIN
E0,Fulham,Huddersfield,0,0,DRAW,K Friend,HOME,WIN
E0,Leicester,Cardiff,0,0,DRAW,S Hooper,HOME,LOSE
E0,Liverpool,Arsenal,1,4,WIN,M Oliver,HOME,WIN
E0,Tottenham,Wolves,0,1,WIN,S Attwell,HOME,LOSE
E0,Watford,Newcastle,1,0,LOSE,R East,HOME,DRAW
E0,Burnley,West Ham,0,2,WIN,D Coote,HOME,WIN
E0,Crystal Palace,Chelsea,0,0,DRAW,C Pawson,HOME,LOSE
E0,Man United,Bournemouth,1,3,WIN,L Mason,HOME,WIN
E0,Southampton,Man City,3,1,LOSE,P Tierney,HOME,LOSE
E0,Arsenal,Fulham,0,1,WIN,G Scott,HOME,WIN
E0,Cardiff,Tottenham,3,0,LOSE,K Friend,HOME,LOSE
E0,Everton,Leicester,0,0,DRAW,M Atkinson,HOME,LOSE
E0,Bournemouth,Watford,3,3,DRAW,D Coote,HOME,DRAW
E0,Chelsea,Southampton,0,0,DRAW,J Moss,HOME,DRAW
E0,Huddersfield,Burnley,1,1,DRAW,M Dean,HOME,LOSE
E0,Newcastle,Man United,0,0,DRAW,A Marriner,HOME,LOSE
E0,West Ham,Brighton,0,0,DRAW,C Kavanagh,HOME,DRAW
E0,Wolves,Crystal Palace,0,0,DRAW,R East,HOME,LOSE
E0,Man City,Liverpool,0,1,WIN,A Taylor,HOME,WIN
E0,Brighton,Liverpool,0,0,DRAW,K Friend,HOME,LOSE
E0,Burnley,Fulham,1,2,WIN,M Atkinson,HOME,WIN
E0,Cardiff,Huddersfield,0,0,DRAW,L Mason,HOME,DRAW
E0,Chelsea,Newcastle,1,1,DRAW,C Kavanagh,HOME,WIN
E0,Crystal Palace,Watford,0,1,WIN,P Tierney,HOME,LOSE
E0,Leicester,Southampton,2,0,LOSE,M Oliver,HOME,LOSE
E0,West Ham,Arsenal,0,0,DRAW,J Moss,HOME,WIN
E0,Everton,Bournemouth,0,0,DRAW,A Taylor,HOME,WIN
E0,Tottenham,Man United,1,0,LOSE,M Dean,HOME,LOSE
E0,Man City,Wolves,0,2,WIN,C Pawson,HOME,WIN
E0,Arsenal,Chelsea,0,2,WIN,A Taylor,HOME,WIN
E0,Bournemouth,West Ham,0,0,DRAW,S Hooper,HOME,WIN
E0,Liverpool,Crystal Palace,1,0,LOSE,J Moss,HOME,WIN
E0,Man United,Brighton,0,2,WIN,P Tierney,HOME,WIN
E0,Newcastle,Cardiff,0,1,WIN,S Attwell,HOME,WIN
E0,Southampton,Everton,0,0,DRAW,G Scott,HOME,WIN
E0,Watford,Burnley,0,0,DRAW,M Oliver,HOME,DRAW
E0,Wolves,Leicester,0,2,WIN,C Kavanagh,HOME,WIN
E0,Fulham,Tottenham,0,1,WIN,C Pawson,HOME,LOSE
E0,Huddersfield,Man City,1,0,LOSE,A Marriner,HOME,LOSE
E0,Arsenal,Cardiff,0,0,DRAW,M Dean,HOME,WIN
E0,Fulham,Brighton,2,0,LOSE,L Probert,HOME,WIN
E0,Huddersfield,Everton,1,0,LOSE,S Attwell,HOME,LOSE
E0,Man United,Burnley,0,0,DRAW,J Moss,HOME,DRAW
E0,Newcastle,Man City,1,0,LOSE,P Tierney,HOME,WIN
E0,Wolves,West Ham,0,0,DRAW,D Coote,HOME,WIN
E0,Bournemouth,Chelsea,0,0,DRAW,R East,HOME,WIN
E0,Liverpool,Leicester,1,1,DRAW,M Atkinson,HOME,DRAW
E0,Southampton,Crystal Palace,1,0,LOSE,A Marriner,HOME,DRAW
E0,Tottenham,Watford,1,0,LOSE,G Scott,HOME,WIN
E0,Brighton,Watford,0,0,DRAW,S Hooper,HOME,DRAW
E0,Burnley,Southampton,0,0,DRAW,A Taylor,HOME,DRAW
E0,Cardiff,Bournemouth,0,1,WIN,J Moss,HOME,WIN
E0,Chelsea,Huddersfield,0,2,WIN,P Tierney,HOME,WIN
E0,Crystal Palace,Fulham,0,1,WIN,M Oliver,HOME,WIN
E0,Everton,Wolves,2,1,LOSE,L Mason,HOME,LOSE
E0,Tottenham,Newcastle,0,0,DRAW,A Marriner,HOME,WIN
E0,Leicester,Man United,1,0,LOSE,M Dean,HOME,LOSE
E0,Man City,Arsenal,1,2,WIN,M Atkinson,HOME,WIN
E0,West Ham,Liverpool,1,1,DRAW,K Friend,HOME,DRAW
E0,Everton,Man City,1,0,LOSE,C Pawson,HOME,LOSE
E0,Brighton,Burnley,1,0,LOSE,S Attwell,HOME,LOSE
